trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
308,False,"{'a': 0.15, 'e': 1.0}",20,0,-55.02223758943821,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
309,False,"{'a': 0.15, 'e': 1.0}",25,0,-68.61537878751128,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
310,False,"{'a': 0.15, 'e': 1.0}",25,0,-188.638357502702,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
311,False,"{'a': 0.15, 'e': 1.0}",30,0,-186.0564440356454,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
312,False,"{'a': 0.15, 'e': 1.0}",20,0,-136.39541575131253,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
313,False,"{'a': 0.15, 'e': 1.0}",20,0,-66.13174055103804,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
314,False,"{'a': 0.15, 'e': 1.0}",20,0,-61.92762744101629,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
315,False,"{'a': 0.15, 'e': 1.0}",20,0,-7.050581159488239,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
316,False,"{'a': 0.15, 'e': 1.0}",25,0,-153.65001168842355,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
317,False,"{'a': 0.15, 'e': 1.0}",30,0,-216.28978250258174,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
318,False,"{'a': 0.15, 'e': 1.0}",25,0,-154.09818793885992,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
319,False,"{'a': 0.15, 'e': 1.0}",25,0,-114.3326022359773,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
320,False,"{'a': 0.15, 'e': 1.0}",25,0,-170.68676027185558,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 4}",0
321,False,"{'a': 0.15, 'e': 1.0}",25,0,-169.65379366646562,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
322,False,"{'a': 0.15, 'e': 1.0}",25,9,-69.78262424178259,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 0}",1
323,False,"{'a': 0.15, 'e': 1.0}",20,0,-22.94739020201817,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
324,False,"{'a': 0.15, 'e': 1.0}",25,0,-195.33552452142376,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
325,False,"{'a': 0.15, 'e': 1.0}",20,0,-74.62456265513282,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
326,False,"{'a': 0.15, 'e': 1.0}",30,0,-162.09041761265368,"{0: 16, 1: 1, 2: 10, 3: 2, 4: 1}",0
327,False,"{'a': 0.15, 'e': 1.0}",25,0,-196.0413590852094,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
328,False,"{'a': 0.15, 'e': 1.0}",25,0,-136.58407842658613,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
329,False,"{'a': 0.15, 'e': 1.0}",30,0,-212.02183062108523,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
